X         Y         Z         data
23.4292   -81.7072  0         223.4
21.9996   -82.1037  0         240.1
20.5634   -82.4751  0         239.2
19.1208   -82.8215  0         247.6
17.6725   -83.1425  0         295.1
16.2188   -83.4383  0         300.9
14.7601   -83.7087  0         297.6
13.2969   -83.9535  0         340.1
11.8297   -84.1728  0         311.8
10.3589   -84.3664  0         331.0
8.88492   -84.5344  0         345.1
7.40824   -84.6766  0         320.9
5.9293    -84.7929  0         309.3
4.44856   -84.8835  0         328.5
2.96646   -84.9482  0         310.9
1.48345   -84.987   0         331.0
0         -85       0         275.9
-1.48345  -84.987   0         288.4
-2.96646  -84.9482  0         261.7
-4.44856  -84.8835  0         247.6
-5.9293   -84.7929  0         268.4
-7.40824  -84.6766  0         238.4
-8.88492  -84.5344  0         229.2
-10.3589  -84.3664  0         239.2
-11.8297  -84.1728  0         206.7
-13.2969  -83.9535  0         190.0
-14.7601  -83.7087  0         179.2
-16.2188  -83.4383  0         186.7
-17.6725  -83.1425  0         158.4
-19.1208  -82.8215  0         160.0
-20.5634  -82.4751  0         176.7
-21.9996  -82.1037  0         160.9
-23.4292  -81.7072  0         136.7
-24.8516  -81.2859  0         139.2
-26.2664  -80.8398  0         153.4
-27.6733  -80.3691  0         153.4
-29.0717  -79.8739  0         148.4
-30.4613  -79.3543  0         163.4
-31.8416  -78.8106  0         151.7
-33.2122  -78.2429  0         160.9
-34.5726  -77.6514  0         145.0
-35.9226  -77.0362  0         163.4
-37.2615  -76.3975  0         173.4
-38.5892  -75.7356  0         202.5
-39.9051  -75.0506  0         177.5
-41.2088  -74.3427  0         180.9
-42.5     -73.6122  0         200.0
-43.7782  -72.8592  0         194.2
-45.0431  -72.0841  0         231.7
-46.2943  -71.287   0         214.2
-47.5314  -70.4682  0         230.9
-48.754   -69.6279  0         261.7
-49.9618  -68.7664  0         268.4
-51.1543  -67.884   0         252.6
-52.3312  -66.9809  0         264.2
-53.4922  -66.0574  0         287.6
-54.6369  -65.1138  0         284.3
-55.765   -64.1503  0         280.1
-56.8761  -63.1673  0         275.9
-57.9699  -62.1651  0         265.1
-59.046   -61.1439  0         285.9
-60.1041  -60.1041  0         289.3
-61.1439  -59.046   0         244.2
-62.1651  -57.9699  0         255.1
-63.1673  -56.8761  0         247.6
-64.1503  -55.765   0         260.9
-65.1138  -54.6369  0         239.2
-66.0574  -53.4922  0         222.6
-66.9809  -52.3312  0         209.2
-67.884   -51.1543  0         201.7
-68.7664  -49.9618  0         185.0
-69.6279  -48.754   0         170.9
-70.4682  -47.5314  0         177.5
-71.287   -46.2943  0         161.7
-72.0841  -45.0431  0         162.5
-72.8592  -43.7782  0         165.0
-73.6122  -42.5     0         170.9
-74.3427  -41.2088  0         149.2
-75.0506  -39.9051  0         154.2
-75.7356  -38.5892  0         165.0
-76.3975  -37.2615  0         152.5
-77.0362  -35.9226  0         163.4
-77.6514  -34.5726  0         146.7
-78.2429  -33.2122  0         128.4
-78.8106  -31.8416  0         137.5
-79.3543  -30.4613  0         160.0
-79.8739  -29.0717  0         163.4
-80.3691  -27.6733  0         142.5
-80.8398  -26.2664  0         143.4
-81.2859  -24.8516  0         162.5
-81.7072  -23.4292  0         137.5
-82.1037  -21.9996  0         172.5
-82.4751  -20.5634  0         138.4
-82.8215  -19.1208  0         145.0
-83.1425  -17.6725  0         177.5
-83.4383  -16.2188  0         145.9
-83.7087  -14.7601  0         161.7
-83.9535  -13.2969  0         175.0
-84.1728  -11.8297  0         167.5
-84.3664  -10.3589  0         185.9
-84.5344  -8.88492  0         191.7
-84.6766  -7.40824  0         178.4
-84.7929  -5.9293   0         152.5
-84.8835  -4.44856  0         176.7
-84.9482  -2.96646  0         196.7
-84.987   -1.48345  0         211.7
-85       0         0         180.9
-84.987   1.48345   0         204.2
-84.9482  2.96646   0         172.5
-84.8835  4.44856   0         200.9
-84.7929  5.9293    0         190.0
-84.6766  7.40824   0         193.4
-84.5344  8.88492   0         179.2
-84.3664  10.3589   0         183.4
-84.1728  11.8297   0         192.5
-83.9535  13.2969   0         191.7
-83.7087  14.7601   0         150.9
-83.4383  16.2188   0         179.2
-83.1425  17.6725   0         155.9
-82.8215  19.1208   0         160.0
-82.4751  20.5634   0         165.0
-82.1037  21.9996   0         150.9
-81.7072  23.4292   0         157.5
-81.2859  24.8516   0         143.4
-80.8398  26.2664   0         145.9
-80.3691  27.6733   0         159.2
-79.8739  29.0717   0         161.7
-79.3543  30.4613   0         171.7
-78.8106  31.8416   0         162.5
-78.2429  33.2122   0         165.0
-77.6514  34.5726   0         164.2
-77.0362  35.9226   0         170.9
-76.3975  37.2615   0         186.7
-75.7356  38.5892   0         164.2
-75.0506  39.9051   0         179.2
-74.3427  41.2088   0         197.5
-73.6122  42.5      0         171.7
-72.8592  43.7782   0         170.0
-72.0841  45.0431   0         159.2
-71.287   46.2943   0         167.5
-70.4682  47.5314   0         190.9
-69.6279  48.754    0         172.5
-68.7664  49.9618   0         172.5
-67.884   51.1543   0         176.7
-66.9809  52.3312   0         167.5
-66.0574  53.4922   0         190.0
-65.1138  54.6369   0         199.2
-64.1503  55.765    0         177.5
-63.1673  56.8761   0         166.7
-62.1651  57.9699   0         165.0
-61.1439  59.046    0         168.4
-60.1041  60.1041   0         155.9
-59.046   61.1439   0         128.4
-57.9699  62.1651   0         155.0
-56.8761  63.1673   0         153.4
-55.765   64.1503   0         140.9
-54.6369  65.1138   0         146.7
-53.4922  66.0574   0         134.2
-52.3312  66.9809   0         158.4
-51.1543  67.884    0         154.2
-49.9618  68.7664   0         143.4
-48.754   69.6279   0         136.7
-47.5314  70.4682   0         163.4
-46.2943  71.287    0         149.2
-45.0431  72.0841   0         129.2
-43.7782  72.8592   0         145.9
-42.5     73.6122   0         136.7
-41.2088  74.3427   0         146.7
-39.9051  75.0506   0         141.7
-38.5892  75.7356   0         133.4
-37.2615  76.3975   0         159.2
-35.9226  77.0362   0         145.9
-34.5726  77.6514   0         157.5
-33.2122  78.2429   0         175.9
-31.8416  78.8106   0         173.4
-30.4613  79.3543   0         173.4
-29.0717  79.8739   0         179.2
-27.6733  80.3691   0         209.2
-26.2664  80.8398   0         180.9
-24.8516  81.2859   0         230.1
-23.4292  81.7072   0         217.6
-21.9996  82.1037   0         220.9
-20.5634  82.4751   0         245.9
-19.1208  82.8215   0         213.4
-17.6725  83.1425   0         240.1
-16.2188  83.4383   0         255.9
-14.7601  83.7087   0         269.2
-13.2969  83.9535   0         263.4
-11.8297  84.1728   0         -1.0
